task,origin,model,segment,metric,value,n
D pts UNCONDITIONAL,O1 valid=2024-12,direct LightGBM on all scheduled rows,ALL,MAE,4.189095961969535,6009
D pts UNCONDITIONAL,O1 valid=2024-12,direct LightGBM on all scheduled rows,star (>=30),MAE,7.154261207957918,1319
D pts UNCONDITIONAL,O1 valid=2024-12,direct LightGBM on all scheduled rows,starter (20-30),MAE,4.930567418117048,1759
D pts UNCONDITIONAL,O1 valid=2024-12,direct LightGBM on all scheduled rows,bench (10-20),MAE,3.1723228154492524,1625
D pts UNCONDITIONAL,O1 valid=2024-12,direct LightGBM on all scheduled rows,fringe (<10),MAE,1.4844869478178742,1258
D pts UNCONDITIONAL,O1 valid=2024-12,direct LightGBM on all scheduled rows,unknown (no history),MAE,0.8422887135548262,48
D pts UNCONDITIONAL,O1 valid=2024-12,decomposed: P(play) x E[PTS|played],ALL,MAE,4.191283143669704,6009
D pts UNCONDITIONAL,O1 valid=2024-12,decomposed: P(play) x E[PTS|played],star (>=30),MAE,7.0635460625849795,1319
D pts UNCONDITIONAL,O1 valid=2024-12,decomposed: P(play) x E[PTS|played],starter (20-30),MAE,4.941742450657152,1759
D pts UNCONDITIONAL,O1 valid=2024-12,decomposed: P(play) x E[PTS|played],bench (10-20),MAE,3.238564559896193,1625
D pts UNCONDITIONAL,O1 valid=2024-12,decomposed: P(play) x E[PTS|played],fringe (<10),MAE,1.4922593736589567,1258
D pts UNCONDITIONAL,O1 valid=2024-12,decomposed: P(play) x E[PTS|played],unknown (no history),MAE,0.7530933575301434,48
D pts UNCONDITIONAL,O1 valid=2024-12,decomposed: P(play) x E[MIN|played] x prior PTS/min,ALL,MAE,4.2217967362031015,6009
D pts UNCONDITIONAL,O1 valid=2024-12,decomposed: P(play) x E[MIN|played] x prior PTS/min,star (>=30),MAE,7.206804977231855,1319
D pts UNCONDITIONAL,O1 valid=2024-12,decomposed: P(play) x E[MIN|played] x prior PTS/min,starter (20-30),MAE,5.003029274944011,1759
D pts UNCONDITIONAL,O1 valid=2024-12,decomposed: P(play) x E[MIN|played] x prior PTS/min,bench (10-20),MAE,3.221660116423531,1625
D pts UNCONDITIONAL,O1 valid=2024-12,decomposed: P(play) x E[MIN|played] x prior PTS/min,fringe (<10),MAE,1.4198471623745388,1258
D pts UNCONDITIONAL,O1 valid=2024-12,decomposed: P(play) x E[MIN|played] x prior PTS/min,unknown (no history),MAE,0.8605605998686799,48
A availability,O2 valid=2025-01,baseline: global rate,ALL,Brier,0.22387394160744326,7393
A availability,O2 valid=2025-01,baseline: global rate,ALL,LogLoss,0.6399565277651587,7393
A availability,O2 valid=2025-01,baseline: shifted appearance rate(10),ALL,Brier,0.1710349833918374,7393
A availability,O2 valid=2025-01,baseline: shifted appearance rate(10),ALL,LogLoss,0.6138732545972371,7393
A availability,O2 valid=2025-01,logistic regression,ALL,Brier,0.1539946013513736,7393
A availability,O2 valid=2025-01,logistic regression,ALL,LogLoss,0.48068326909369913,7393
A availability,O2 valid=2025-01,LightGBM classifier,ALL,Brier,0.1355656235882181,7393
A availability,O2 valid=2025-01,LightGBM classifier,ALL,LogLoss,0.42656921211433535,7393
B minutes|played,O2 valid=2025-01,baseline: expanding season mean,ALL,MAE,4.982327590875959,4893
B minutes|played,O2 valid=2025-01,baseline: expanding season mean,star (>=30),MAE,4.015458338959434,1322
B minutes|played,O2 valid=2025-01,baseline: expanding season mean,starter (20-30),MAE,5.197869564923541,1548
B minutes|played,O2 valid=2025-01,baseline: expanding season mean,bench (10-20),MAE,5.848741364404464,1424
B minutes|played,O2 valid=2025-01,baseline: expanding season mean,fringe (<10),MAE,4.382925571393293,592
B minutes|played,O2 valid=2025-01,baseline: expanding season mean,unknown (no history),MAE,14.355892910466576,7
B minutes|played,O2 valid=2025-01,baseline: EWMA (halflife 5),ALL,MAE,4.703741594362244,4893
B minutes|played,O2 valid=2025-01,baseline: EWMA (halflife 5),star (>=30),MAE,3.887139609782142,1322
B minutes|played,O2 valid=2025-01,baseline: EWMA (halflife 5),starter (20-30),MAE,4.718559305030524,1548
B minutes|played,O2 valid=2025-01,baseline: EWMA (halflife 5),bench (10-20),MAE,5.58679457456271,1424
B minutes|played,O2 valid=2025-01,baseline: EWMA (halflife 5),fringe (<10),MAE,4.250325216798402,592
B minutes|played,O2 valid=2025-01,baseline: EWMA (halflife 5),unknown (no history),MAE,14.355892910466576,7
B minutes|played,O2 valid=2025-01,ridge,ALL,MAE,4.638988719224415,4893
B minutes|played,O2 valid=2025-01,ridge,star (>=30),MAE,3.877378223702222,1322
B minutes|played,O2 valid=2025-01,ridge,starter (20-30),MAE,4.564877899959004,1548
B minutes|played,O2 valid=2025-01,ridge,bench (10-20),MAE,5.451621649025846,1424
B minutes|played,O2 valid=2025-01,ridge,fringe (<10),MAE,4.5426371667515655,592
B minutes|played,O2 valid=2025-01,ridge,unknown (no history),MAE,7.699481623493098,7
B minutes|played,O2 valid=2025-01,LightGBM,ALL,MAE,4.640934379175235,4893
B minutes|played,O2 valid=2025-01,LightGBM,star (>=30),MAE,3.879851405011108,1322
B minutes|played,O2 valid=2025-01,LightGBM,starter (20-30),MAE,4.608493567441745,1548
B minutes|played,O2 valid=2025-01,LightGBM,bench (10-20),MAE,5.401004682939635,1424
B minutes|played,O2 valid=2025-01,LightGBM,fringe (<10),MAE,4.589686958699888,592
B minutes|played,O2 valid=2025-01,LightGBM,unknown (no history),MAE,5.2649956319347435,7
C1 pts|played,O2 valid=2025-01,baseline: expanding season mean,ALL,MAE,4.487185961562662,4893
C1 pts|played,O2 valid=2025-01,baseline: expanding season mean,star (>=30),MAE,5.6010740620294275,1322
C1 pts|played,O2 valid=2025-01,baseline: expanding season mean,starter (20-30),MAE,4.891245542706692,1548
C1 pts|played,O2 valid=2025-01,baseline: expanding season mean,bench (10-20),MAE,3.8965161523469085,1424
C1 pts|played,O2 valid=2025-01,baseline: expanding season mean,fringe (<10),MAE,2.2971561785667927,592
C1 pts|played,O2 valid=2025-01,baseline: expanding season mean,unknown (no history),MAE,10.139634451386224,7
C1 pts|played,O2 valid=2025-01,baseline: EWMA (halflife 5),ALL,MAE,4.4405194886672374,4893
C1 pts|played,O2 valid=2025-01,baseline: EWMA (halflife 5),star (>=30),MAE,5.629131031614797,1322
C1 pts|played,O2 valid=2025-01,baseline: EWMA (halflife 5),starter (20-30),MAE,4.803287721748312,1548
C1 pts|played,O2 valid=2025-01,baseline: EWMA (halflife 5),bench (10-20),MAE,3.817561313435249,1424
C1 pts|played,O2 valid=2025-01,baseline: EWMA (halflife 5),fringe (<10),MAE,2.2687102863110553,592
C1 pts|played,O2 valid=2025-01,baseline: EWMA (halflife 5),unknown (no history),MAE,10.139634451386224,7
C1 pts|played,O2 valid=2025-01,ridge,ALL,MAE,4.406395827341848,4893
C1 pts|played,O2 valid=2025-01,ridge,star (>=30),MAE,5.559413679162596,1322
C1 pts|played,O2 valid=2025-01,ridge,starter (20-30),MAE,4.7527823824971085,1548
C1 pts|played,O2 valid=2025-01,ridge,bench (10-20),MAE,3.795619714765668,1424
C1 pts|played,O2 valid=2025-01,ridge,fringe (<10),MAE,2.3689773763508692,592
C1 pts|played,O2 valid=2025-01,ridge,unknown (no history),MAE,6.6065272284514736,7
C1 pts|played,O2 valid=2025-01,LightGBM,ALL,MAE,4.463786821646072,4893
C1 pts|played,O2 valid=2025-01,LightGBM,star (>=30),MAE,5.739142426156548,1322
C1 pts|played,O2 valid=2025-01,LightGBM,starter (20-30),MAE,4.775069136485145,1548
C1 pts|played,O2 valid=2025-01,LightGBM,bench (10-20),MAE,3.7860255321656293,1424
C1 pts|played,O2 valid=2025-01,LightGBM,fringe (<10),MAE,2.4305420847665844,592
C1 pts|played,O2 valid=2025-01,LightGBM,unknown (no history),MAE,4.596333667227995,7
C2 ast|played,O2 valid=2025-01,baseline: expanding season mean,ALL,MAE,1.3213633030127068,4893
C2 ast|played,O2 valid=2025-01,baseline: expanding season mean,star (>=30),MAE,1.7512643925283462,1322
C2 ast|played,O2 valid=2025-01,baseline: expanding season mean,starter (20-30),MAE,1.4349995172281322,1548
C2 ast|played,O2 valid=2025-01,baseline: expanding season mean,bench (10-20),MAE,1.0673730831845016,1424
C2 ast|played,O2 valid=2025-01,baseline: expanding season mean,fringe (<10),MAE,0.6649523747687244,592
C2 ast|played,O2 valid=2025-01,baseline: expanding season mean,unknown (no history),MAE,2.184112247391016,7
C2 ast|played,O2 valid=2025-01,baseline: EWMA (halflife 5),ALL,MAE,1.3216034580914333,4893
C2 ast|played,O2 valid=2025-01,baseline: EWMA (halflife 5),star (>=30),MAE,1.76230609955402,1322
C2 ast|played,O2 valid=2025-01,baseline: EWMA (halflife 5),starter (20-30),MAE,1.42310112826105,1548
C2 ast|played,O2 valid=2025-01,baseline: EWMA (halflife 5),bench (10-20),MAE,1.0677591110307647,1424
C2 ast|played,O2 valid=2025-01,baseline: EWMA (halflife 5),fringe (<10),MAE,0.6724641054785783,592
C2 ast|played,O2 valid=2025-01,baseline: EWMA (halflife 5),unknown (no history),MAE,2.184112247391016,7
C2 ast|played,O2 valid=2025-01,ridge,ALL,MAE,1.304949065782858,4893
C2 ast|played,O2 valid=2025-01,ridge,star (>=30),MAE,1.7403989495120042,1322
C2 ast|played,O2 valid=2025-01,ridge,starter (20-30),MAE,1.4059349872457998,1548
C2 ast|played,O2 valid=2025-01,ridge,bench (10-20),MAE,1.0466020845881354,1424
C2 ast|played,O2 valid=2025-01,ridge,fringe (<10),MAE,0.6903615497756892,592
C2 ast|played,O2 valid=2025-01,ridge,unknown (no history),MAE,1.2665144919205338,7
C2 ast|played,O2 valid=2025-01,LightGBM,ALL,MAE,1.3341494019174056,4893
C2 ast|played,O2 valid=2025-01,LightGBM,star (>=30),MAE,1.8051723942374474,1322
C2 ast|played,O2 valid=2025-01,LightGBM,starter (20-30),MAE,1.428934475386108,1548
C2 ast|played,O2 valid=2025-01,LightGBM,bench (10-20),MAE,1.0554643254816785,1424
C2 ast|played,O2 valid=2025-01,LightGBM,fringe (<10),MAE,0.711032122393067,592
C2 ast|played,O2 valid=2025-01,LightGBM,unknown (no history),MAE,0.8074763656656231,7
D pts UNCONDITIONAL,O2 valid=2025-01,naive: conditional season mean (selection-biased),ALL,MAE,5.234752868900177,7393
D pts UNCONDITIONAL,O2 valid=2025-01,naive: conditional season mean (selection-biased),star (>=30),MAE,7.853135866105654,1603
